Region,Product,Target,Actual
East,Cream,51,43
North,Cream,79,77
South,Cream,32,24.96
West,Cream,90,76
East,Deo,279,281.79
North,Deo,228,291.84
South,Deo,107,82.39
West,Deo,335,348.4
East,Perfume,120,117.6
North,Perfume,95,116.85
South,Perfume,34,28.56
West,Perfume,122,125.66
East,Shampoo,271,276.42
North,Shampoo,211,244.76
South,Shampoo,120,85.2
West,Shampoo,382,393.46
East,Soap,704,689.92
North,Soap,780,982.8
South,Soap,263,220.92
West,Soap,961,999.44
East,Toothpaste,534,539.34
North,Toothpaste,339,440.7
South,Toothpaste,232,174
West,Toothpaste,443,505.02
