Car ID,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
1,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,four,130,3.47,2.68,9,111,5000,21,27,13495
2,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,four,130,3.47,2.68,9,111,5000,21,27,16500
3,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,six,152,2.68,3.47,9,154,5000,19,26,16500
4,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,four,109,3.19,3.4,10,102,5500,24,30,13950
5,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,five,136,3.19,3.4,8,115,5500,18,22,17450
6,audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,five,136,3.19,3.4,8.5,110,5500,19,25,15250
7,audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,five,136,3.19,3.4,8.5,110,5500,19,25,17710
8,audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,five,136,3.19,3.4,8.5,110,5500,19,25,18920
9,audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,five,131,3.13,3.4,8.3,140,5500,17,20,23875
10,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,four,108,3.5,2.8,8.8,101,5800,23,29,16430
11,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,four,108,3.5,2.8,8.8,101,5800,23,29,16925
12,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,six,164,3.31,3.19,9,121,4250,21,28,20970
13,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,six,164,3.31,3.19,9,121,4250,21,28,21105
14,bmw,gas,std,four,sedan,rwd,front,103.5,189,66.9,55.7,3055,six,164,3.31,3.19,9,121,4250,20,25,24565
15,bmw,gas,std,four,sedan,rwd,front,103.5,189,66.9,55.7,3230,six,209,3.62,3.39,8,182,5400,16,22,30760
16,bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,six,209,3.62,3.39,8,182,5400,16,22,41315
