Category,Committed,Jan demand,Location,Max,Min,Number of Records,On PO,Onhand,Product Name,SS,Sub- Category,Unit Cost,Unit Price,Concat,On Hand,Order 1,Order
Furniture,12,6,Alaska,11,17,1,10,25,Bush Mission Pointe Library,5,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryAlaska,13,8,-12
Furniture,10,34,California,35,10,1,7,41,Bush Mission Pointe Library,1,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryCalifornia,38,37,-3
Furniture,11,49,Colorado,56,18,1,6,26,Bush Mission Pointe Library,7,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryColorado,61,54,35
Furniture,9,44,Florida,54,12,1,8,24,Bush Mission Pointe Library,10,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryFlorida,55,45,31
Furniture,8,30,Georgia,33,20,1,10,35,Bush Mission Pointe Library,3,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryGeorgia,31,28,-4
Furniture,15,28,Hawaii,29,11,1,9,39,Bush Mission Pointe Library,1,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryHawaii,35,34,-4
Furniture,8,85,Kentucky,88,10,1,10,38,Bush Mission Pointe Library,3,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryKentucky,86,83,48
Furniture,15,32,Michigan,36,18,1,5,42,Bush Mission Pointe Library,4,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryMichigan,46,42,4
Furniture,10,38,Mississippi,47,10,1,6,45,Bush Mission Pointe Library,9,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryMississippi,51,42,6
Furniture,10,84,Nevada,91,19,1,9,36,Bush Mission Pointe Library,7,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryNevada,92,85,56
Furniture,8,44,New Jersey,48,19,1,5,46,Bush Mission Pointe Library,4,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryNew Jersey,51,47,5
Furniture,14,0,New Mexico,2,20,1,6,31,Bush Mission Pointe Library,2,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryNew Mexico,10,8,-21
Furniture,12,60,New York,70,13,1,5,30,Bush Mission Pointe Library,10,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryNew York,77,67,47
Furniture,11,74,Texas,83,19,1,10,49,Bush Mission Pointe Library,9,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryTexas,84,75,35
Furniture,12,61,Washington,70,17,1,6,29,Bush Mission Pointe Library,9,Bookcases,82.13312,102.6664,Bush Mission Pointe LibraryWashington,76,67,47
Furniture,13,29,Alaska,31,11,1,9,33,High-Back Leather Manager's Chair,2,Chairs,83.1936,103.992,High-Back Leather Manager's ChairAlaska,35,33,2
Furniture,9,0,Alaska,3,13,1,5,29,Novimex Swivel Fabric Task Chair,3,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairAlaska,7,4,-22
Furniture,13,78,California,79,17,1,10,50,High-Back Leather Manager's Chair,1,Chairs,83.1936,103.992,High-Back Leather Manager's ChairCalifornia,82,81,32
Furniture,13,0,California,8,16,1,6,38,Novimex Swivel Fabric Task Chair,8,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairCalifornia,15,7,-23
Furniture,10,28,Colorado,34,14,1,8,40,High-Back Leather Manager's Chair,6,Chairs,83.1936,103.992,High-Back Leather Manager's ChairColorado,36,30,-4
Furniture,12,89,Colorado,93,15,1,8,38,Novimex Swivel Fabric Task Chair,4,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairColorado,97,93,59
Furniture,13,15,Florida,18,13,1,9,39,High-Back Leather Manager's Chair,3,Chairs,83.1936,103.992,High-Back Leather Manager's ChairFlorida,22,19,-17
Furniture,8,0,Florida,3,12,1,9,47,Novimex Swivel Fabric Task Chair,3,Chairs,120.784,150.98,Novimex Swivel Fabric Task ChairFlorida,2,-1,-45
